productId,currentTitle,detectedBrand,detectedModel,currentSpecsSummary,missingFields,confidenceLevel,researchRequired,recommendedAction,imageSearchQuery,uaePriceSearchQuery,ksaPriceSearchQuery,seoKeywordTarget
prod_import_xlsx_1776538003641_1,HP EliteBook 840 G3 Laptop,HP,EliteBook 840 G3,Core i5-6300U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 10 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G3 Laptop official product image white background,HP EliteBook 840 G3 Laptop UAE price refurbished,HP EliteBook 840 G3 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G3 refurbished laptop UAE
prod_import_xlsx_1776538003641_12,HP ProBook 440 G6 Laptop,HP,ProBook 440 G6,Core i5-8365U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 440 G6 Laptop official product image white background,HP ProBook 440 G6 Laptop UAE price refurbished,HP ProBook 440 G6 Laptop Saudi Arabia price refurbished,HP ProBook 440 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_13,HP ProBook 440 G7 Laptop,HP,ProBook 440 G7,Core i5-10310U | 16GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 440 G7 Laptop official product image white background,HP ProBook 440 G7 Laptop UAE price refurbished,HP ProBook 440 G7 Laptop Saudi Arabia price refurbished,HP ProBook 440 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_14,HP ProBook 450 G5 Laptop,HP,ProBook 450 G5,Core i5-8250U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 450 G5 Laptop official product image white background,HP ProBook 450 G5 Laptop UAE price refurbished,HP ProBook 450 G5 Laptop Saudi Arabia price refurbished,HP ProBook 450 G5 refurbished laptop UAE
prod_import_xlsx_1776538003641_15,HP ProBook 450 G6 Laptop,HP,ProBook 450 G6,Core i5-8365U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 450 G6 Laptop official product image white background,HP ProBook 450 G6 Laptop UAE price refurbished,HP ProBook 450 G6 Laptop Saudi Arabia price refurbished,HP ProBook 450 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_16,HP ProBook 450 G7 Laptop,HP,ProBook 450 G7,Core i5-10310U | 16GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 450 G7 Laptop official product image white background,HP ProBook 450 G7 Laptop UAE price refurbished,HP ProBook 450 G7 Laptop Saudi Arabia price refurbished,HP ProBook 450 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_17,HP ProBook 455 G7 Laptop,HP,ProBook 455 G7,Ryzen 5 4500U | 16GB | 256GB | 14-inch | AMD Radeon Graphics | Windows 11 | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 455 G7 Laptop official product image white background,HP ProBook 455 G7 Laptop UAE price refurbished,HP ProBook 455 G7 Laptop Saudi Arabia price refurbished,HP ProBook 455 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_18,HP ProBook 640 G4 Laptop,HP,ProBook 640 G4,Core i5-7300U | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 10 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 640 G4 Laptop official product image white background,HP ProBook 640 G4 Laptop UAE price refurbished,HP ProBook 640 G4 Laptop Saudi Arabia price refurbished,HP ProBook 640 G4 refurbished laptop UAE
prod_import_xlsx_1776538003641_19,HP ProBook 650 G4 Laptop,HP,ProBook 650 G4,Core i5-7300U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 10 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP ProBook 650 G4 Laptop official product image white background,HP ProBook 650 G4 Laptop UAE price refurbished,HP ProBook 650 G4 Laptop Saudi Arabia price refurbished,HP ProBook 650 G4 refurbished laptop UAE
prod_import_xlsx_1776538003641_20,HP EliteBook x360 1030 G2 Laptop,HP,EliteBook x360 1030 G2,Core i5 | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook x360 1030 G2 Laptop official product image white background,HP EliteBook x360 1030 G2 Laptop UAE price refurbished,HP EliteBook x360 1030 G2 Laptop Saudi Arabia price refurbished,HP EliteBook x360 1030 G2 refurbished laptop UAE
prod_import_xlsx_1776538003641_21,HP 250 G6 Laptop,HP,250 G6,Core i5-8365U | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 250 G6 Laptop official product image white background,HP 250 G6 Laptop UAE price refurbished,HP 250 G6 Laptop Saudi Arabia price refurbished,HP 250 G6 refurbished laptop UAE
prod_import_xlsx_1776538003641_22,HP 250 G7 Laptop,HP,250 G7,Core i5-10310U | 16GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 250 G7 Laptop official product image white background,HP 250 G7 Laptop UAE price refurbished,HP 250 G7 Laptop Saudi Arabia price refurbished,HP 250 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_23,HP 255 G7 Laptop,HP,255 G7,Core i5-10310U | 16GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 255 G7 Laptop official product image white background,HP 255 G7 Laptop UAE price refurbished,HP 255 G7 Laptop Saudi Arabia price refurbished,HP 255 G7 refurbished laptop UAE
prod_import_xlsx_1776538003641_24,HP 255 G8 Laptop,HP,255 G8,Core i5-1135G7 | 16GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 255 G8 Laptop official product image white background,HP 255 G8 Laptop UAE price refurbished,HP 255 G8 Laptop Saudi Arabia price refurbished,HP 255 G8 refurbished laptop UAE
prod_import_xlsx_1776538003641_25,HP 15-da series Laptop,HP,15-da series,Core i5 | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 15-da series Laptop official product image white background,HP 15-da series Laptop UAE price refurbished,HP 15-da series Laptop Saudi Arabia price refurbished,HP 15-da series refurbished laptop UAE
prod_import_xlsx_1776538003641_26,HP 15-dw series Laptop,HP,15-dw series,Core i5 | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 15-dw series Laptop official product image white background,HP 15-dw series Laptop UAE price refurbished,HP 15-dw series Laptop Saudi Arabia price refurbished,HP 15-dw series refurbished laptop UAE
prod_import_xlsx_1776538003641_27,HP 15s-fq series Laptop,HP,15s-fq series,Core i5 | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 15s-fq series Laptop official product image white background,HP 15s-fq series Laptop UAE price refurbished,HP 15s-fq series Laptop Saudi Arabia price refurbished,HP 15s-fq series refurbished laptop UAE
prod_import_xlsx_1776538003641_28,HP 14s series Laptop,HP,14s series,Core i5 | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 14s series Laptop official product image white background,HP 14s series Laptop UAE price refurbished,HP 14s series Laptop Saudi Arabia price refurbished,HP 14s series refurbished laptop UAE
prod_import_xlsx_1776538003641_29,HP 14-dq series Laptop,HP,14-dq series,Core i5 | 8GB | 256GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 14-dq series Laptop official product image white background,HP 14-dq series Laptop UAE price refurbished,HP 14-dq series Laptop Saudi Arabia price refurbished,HP 14-dq series refurbished laptop UAE
prod_import_xlsx_1776538003641_30,HP Notebook 15 Laptop,HP,Notebook 15,Core i5 | 8GB | 256GB | 15.6-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Notebook 15 Laptop official product image white background,HP Notebook 15 Laptop UAE price refurbished,HP Notebook 15 Laptop Saudi Arabia price refurbished,HP Notebook 15 refurbished laptop UAE
prod_import_xlsx_1776538003641_31,HP Pavilion 14-ce Laptop,HP,Pavilion 14-ce,Core i5-8265U | 8GB | 512GB | 14-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion 14-ce Laptop official product image white background,HP Pavilion 14-ce Laptop UAE price refurbished,HP Pavilion 14-ce Laptop Saudi Arabia price refurbished,HP Pavilion 14-ce refurbished laptop UAE
prod_import_xlsx_1776538003641_32,HP Pavilion 14-dv Laptop,HP,Pavilion 14-dv,Core i5-1135G7 | 8GB | 512GB | 14-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion 14-dv Laptop official product image white background,HP Pavilion 14-dv Laptop UAE price refurbished,HP Pavilion 14-dv Laptop Saudi Arabia price refurbished,HP Pavilion 14-dv refurbished laptop UAE
prod_import_xlsx_1776538003641_33,HP Pavilion 15-cs Laptop,HP,Pavilion 15-cs,Core i5-8265U | 8GB | 512GB | 15.6-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion 15-cs Laptop official product image white background,HP Pavilion 15-cs Laptop UAE price refurbished,HP Pavilion 15-cs Laptop Saudi Arabia price refurbished,HP Pavilion 15-cs refurbished laptop UAE
prod_import_xlsx_1776538003641_34,HP Pavilion 15-eg Laptop,HP,Pavilion 15-eg,Core i5-1235U | 8GB | 512GB | 15.6-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion 15-eg Laptop official product image white background,HP Pavilion 15-eg Laptop UAE price refurbished,HP Pavilion 15-eg Laptop Saudi Arabia price refurbished,HP Pavilion 15-eg refurbished laptop UAE
prod_import_xlsx_1776538003641_35,HP Pavilion 15-eh Laptop,HP,Pavilion 15-eh,Ryzen 5 | 8GB | 512GB | 15.6-inch | AMD Radeon Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion 15-eh Laptop official product image white background,HP Pavilion 15-eh Laptop UAE price refurbished,HP Pavilion 15-eh Laptop Saudi Arabia price refurbished,HP Pavilion 15-eh refurbished laptop UAE
prod_import_xlsx_1776538003641_36,HP Pavilion x360 14 Laptop,HP,Pavilion x360 14,Core i5 | 8GB | 512GB | 14-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion x360 14 Laptop official product image white background,HP Pavilion x360 14 Laptop UAE price refurbished,HP Pavilion x360 14 Laptop Saudi Arabia price refurbished,HP Pavilion x360 14 refurbished laptop UAE
prod_import_xlsx_1776538003641_37,HP Pavilion x360 15 Laptop,HP,Pavilion x360 15,Core i5 | 8GB | 512GB | 15.6-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Pavilion x360 15 Laptop official product image white background,HP Pavilion x360 15 Laptop UAE price refurbished,HP Pavilion x360 15 Laptop Saudi Arabia price refurbished,HP Pavilion x360 15 refurbished laptop UAE
prod_import_xlsx_1776538003641_38,HP Envy x360 13 Laptop,HP,Envy x360 13,Core i7-1165G7 | 16GB | 512GB | 13.3-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Envy x360 13 Laptop official product image white background,HP Envy x360 13 Laptop UAE price refurbished,HP Envy x360 13 Laptop Saudi Arabia price refurbished,HP Envy x360 13 refurbished laptop UAE
prod_import_xlsx_1776538003641_39,HP Envy x360 15 Laptop,HP,Envy x360 15,Core i7-1165G7 | 16GB | 512GB | 15.6-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Envy x360 15 Laptop official product image white background,HP Envy x360 15 Laptop UAE price refurbished,HP Envy x360 15 Laptop Saudi Arabia price refurbished,HP Envy x360 15 refurbished laptop UAE
prod_import_xlsx_1776538003641_40,HP Envy 13 Laptop,HP,Envy 13,Core i7-1165G7 | 16GB | 512GB | 13.3-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Envy 13 Laptop official product image white background,HP Envy 13 Laptop UAE price refurbished,HP Envy 13 Laptop Saudi Arabia price refurbished,HP Envy 13 refurbished laptop UAE
prod_import_xlsx_1776538003641_41,HP Spectre x360 13 Laptop,HP,Spectre x360 13,Core i7-1165G7 | 16GB | 512GB | 13.3-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Spectre x360 13 Laptop official product image white background,HP Spectre x360 13 Laptop UAE price refurbished,HP Spectre x360 13 Laptop Saudi Arabia price refurbished,HP Spectre x360 13 refurbished laptop UAE
prod_import_xlsx_1776538003641_42,HP Spectre x360 14 Laptop,HP,Spectre x360 14,Core i7-1165G7 | 16GB | 512GB | 13.5-inch | Intel UHD Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Spectre x360 14 Laptop official product image white background,HP Spectre x360 14 Laptop UAE price refurbished,HP Spectre x360 14 Laptop Saudi Arabia price refurbished,HP Spectre x360 14 refurbished laptop UAE
prod_import_xlsx_1776538003641_43,HP Victus 15 Laptop,HP,Victus 15,Core i5-12450H | 16GB | 512GB | 15.6-inch | NVIDIA GeForce RTX 3050 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Victus 15 Laptop official product image white background,HP Victus 15 Laptop UAE price refurbished,HP Victus 15 Laptop Saudi Arabia price refurbished,HP Victus 15 refurbished laptop UAE
prod_import_xlsx_1776538003641_44,HP Victus 16 Laptop,HP,Victus 16,Core i5-12450H | 16GB | 512GB | 16.1-inch | NVIDIA GeForce RTX 3050 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Victus 16 Laptop official product image white background,HP Victus 16 Laptop UAE price refurbished,HP Victus 16 Laptop Saudi Arabia price refurbished,HP Victus 16 refurbished laptop UAE
prod_import_xlsx_1776538003641_45,HP Omen 15 Laptop,HP,Omen 15,Core i7-12700H | 16GB | 1TB | 15.6-inch | NVIDIA GeForce RTX 3060 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Omen 15 Laptop official product image white background,HP Omen 15 Laptop UAE price refurbished,HP Omen 15 Laptop Saudi Arabia price refurbished,HP Omen 15 refurbished laptop UAE
prod_import_xlsx_1776538003641_46,HP Omen 16 Laptop,HP,Omen 16,Core i7-12700H | 16GB | 1TB | 16.1-inch | NVIDIA GeForce RTX 3060 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Omen 16 Laptop official product image white background,HP Omen 16 Laptop UAE price refurbished,HP Omen 16 Laptop Saudi Arabia price refurbished,HP Omen 16 refurbished laptop UAE
prod_import_xlsx_1776538003641_47,HP Omen 17 Laptop,HP,Omen 17,Core i7-12700H | 16GB | 1TB | 17.3-inch | NVIDIA GeForce RTX 3060 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP Omen 17 Laptop official product image white background,HP Omen 17 Laptop UAE price refurbished,HP Omen 17 Laptop Saudi Arabia price refurbished,HP Omen 17 refurbished laptop UAE
prod_import_xlsx_1776538003641_48,HP EliteBook 640 G10 Laptop,HP,EliteBook 640 G10,Core i5-1335U | 16GB | 512GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 640 G10 Laptop official product image white background,HP EliteBook 640 G10 Laptop UAE price refurbished,HP EliteBook 640 G10 Laptop Saudi Arabia price refurbished,HP EliteBook 640 G10 refurbished laptop UAE
prod_import_xlsx_1776538003641_49,HP EliteBook 840 G9 Laptop,HP,EliteBook 840 G9,Core i5-1235U | 16GB | 512GB | 14-inch | Intel UHD Graphics | Windows 11 Pro | Refurbished,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP EliteBook 840 G9 Laptop official product image white background,HP EliteBook 840 G9 Laptop UAE price refurbished,HP EliteBook 840 G9 Laptop Saudi Arabia price refurbished,HP EliteBook 840 G9 refurbished laptop UAE
prod_import_xlsx_1776538003641_50,HP 15 Ryzen 5 Laptop,HP,15 Ryzen 5,Ryzen 5 7520U | 8GB | 512GB | 15.6-inch | AMD Radeon Graphics | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification; content rewrite,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,HP 15 Ryzen 5 Laptop official product image white background,HP 15 Ryzen 5 Laptop UAE price refurbished,HP 15 Ryzen 5 Laptop Saudi Arabia price refurbished,HP 15 Ryzen 5 refurbished laptop UAE
prod_import_xlsx_1776538003641_99,Dell Alienware M15 Laptop,Dell,Alienware M15,Core i7-12700H | 16GB | 1TB | 15.6-inch | NVIDIA GeForce RTX 3070 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,Dell Alienware M15 Laptop official product image white background,Dell Alienware M15 Laptop UAE price refurbished,Dell Alienware M15 Laptop Saudi Arabia price refurbished,Dell Alienware M15 refurbished laptop UAE
prod_import_xlsx_1776538003641_100,Dell Alienware M16 Laptop,Dell,Alienware M16,Core i7-13700HX | 16GB | 1TB | 16-inch | NVIDIA GeForce RTX 4070 | Windows 11 Home | Renewed,,low,model verification; image verification; UAE price verification; KSA price verification,Do not enrich yet. Resolve exact brand/model/specs from source documents before any catalog update.,Dell Alienware M16 Laptop official product image white background,Dell Alienware M16 Laptop UAE price refurbished,Dell Alienware M16 Laptop Saudi Arabia price refurbished,Dell Alienware M16 refurbished laptop UAE
